brandName,Immune,Energy,Sleep/Calm,Cognitive/Focus,Joint/Bone,Heart/Cardio,Digestive/Gut,Men’s/Women’s,Sports/Performance,General Wellness
Herbally Grounded,0.36363636363636365,0.3181818181818182,0.22727272727272727,0.16666666666666666,0.030303030303030304,0.13636363636363635,0.3181818181818182,0.13636363636363635,0.15151515151515152,0.015151515151515152
Herbs Etc.,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.05405405405405406,0.0,0.04054054054054054,0.05405405405405406,0.6621621621621622,0.02702702702702703,0.0
Herbs SRA,0.14516129032258066,0.06451612903225806,0.04838709677419355,0.08064516129032258,0.0967741935483871,0.08064516129032258,0.0967741935483871,1.0,0.03225806451612903,0.016129032258064516
Higher Nature,0.30303030303030304,0.19696969696969696,0.07575757575757576,0.12121212121212122,0.19696969696969696,0.09090909090909091,0.12121212121212122,0.7575757575757576,0.13636363636363635,0.07575757575757576
Himalaya,0.2564102564102564,0.2564102564102564,0.3333333333333333,0.15384615384615385,0.1794871794871795,0.15384615384615385,0.3333333333333333,0.9487179487179487,0.2564102564102564,0.9487179487179487
Host Defense Mushrooms,0.5733333333333334,0.22666666666666666,0.12,0.13333333333333333,0.0,0.013333333333333334,0.10666666666666667,1.0,0.16,0.04
Insane Labz,0.7352941176470589,0.6764705882352942,0.0,0.6029411764705882,0.0,0.9705882352941176,0.0,0.9705882352941176,0.7352941176470589,0.0
Integrative Therapeutics,0.13953488372093023,0.0,0.06976744186046512,0.03488372093023256,0.023255813953488372,0.06976744186046512,0.18604651162790697,1.0,0.011627906976744186,0.023255813953488372
Irwin Naturals,0.39759036144578314,0.42168674698795183,0.3132530120481928,0.18072289156626506,0.07228915662650602,0.5783132530120482,0.2289156626506024,0.9879518072289156,0.3132530120481928,0.10843373493975904
JYM Supplement Science,0.022222222222222223,0.4444444444444444,0.0,0.08888888888888889,0.0,0.022222222222222223,0.0,1.0,0.8444444444444444,0.0
Jarrow Formulas,0.5738636363636364,0.29545454545454547,0.21022727272727273,0.25,0.19886363636363635,0.26136363636363635,0.2556818181818182,0.9602272727272727,0.2215909090909091,0.07386363636363637
Justified Laboratories,0.03896103896103896,0.2792207792207792,0.0,0.2532467532467532,0.0,0.045454545454545456,0.21428571428571427,0.9935064935064936,0.42207792207792205,0.11688311688311688
KAL,0.4603174603174603,0.23809523809523808,0.2222222222222222,0.06349206349206349,0.31746031746031744,0.09523809523809523,0.25396825396825395,0.36507936507936506,0.3333333333333333,0.15873015873015872
KAPPA NUTRITION,0.36363636363636365,0.696969696969697,0.5454545454545454,0.24242424242424243,0.2727272727272727,0.30303030303030304,0.30303030303030304,0.6363636363636364,0.2727272727272727,0.09090909090909091
Kaged,0.7560975609756098,0.5365853658536586,0.0,0.43902439024390244,0.0,0.34146341463414637,0.21951219512195122,0.975609756097561,1.0,0.024390243902439025
Kirkman,0.2903225806451613,0.06451612903225806,0.10752688172043011,0.10752688172043011,0.11827956989247312,0.1827956989247312,0.3870967741935484,0.15053763440860216,0.15053763440860216,0.0967741935483871
Klaire Labs,0.09090909090909091,0.015151515151515152,0.0,0.0,0.0,0.030303030303030304,0.48484848484848486,0.8939393939393939,0.0,0.0
Kyolic,0.391304347826087,0.13043478260869565,0.13043478260869565,0.06521739130434782,0.08695652173913043,0.6086956521739131,0.08695652173913043,0.08695652173913043,0.021739130434782608,0.06521739130434782
Lake Avenue Nutrition,0.38571428571428573,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.17142857142857143,0.12857142857142856,0.17142857142857143,0.12857142857142856,0.07142857142857142,0.44285714285714284
