product_id,cluster
277535,3
277566,5
277573,5
277590,5
277624,5
277630,5
277631,5
277633,5
277634,2
277635,3
277636,3
277637,2
277638,5
277639,3
277641,0
277643,5
277644,5
277645,1
277647,1
277648,1
277649,0
277651,5
277652,7
277654,7
277659,5
277667,5
277669,5
277671,4
277674,5
277675,5
277676,5
277677,5
277678,7
277679,7
277680,5
277681,5
277682,5
277683,5
277684,5
277685,5
277686,5
277687,5
277688,5
277689,5
277690,5
277691,5
277692,5
277694,5
277695,0
277696,5
277697,5
277698,5
277701,5
277705,5
277710,2
277711,6
277712,5
277713,3
277716,7
277718,3
277719,3
277721,4
277722,4
277725,5
277726,4
277727,5
277728,5
277729,5
277730,5
277732,2
277733,3
277734,5
277735,5
277737,5
277740,5
277748,3
277752,1
277753,1
277759,5
277766,0
277773,2
277774,2
277779,5
277796,2
277871,2
277887,5
277913,4
277921,0
277923,2
277933,4
277934,3
277962,5
277967,5
278007,2
278010,2
278014,1
278021,5
278156,5
278197,5
278204,4
278206,5
278331,3
278335,0
278372,5
278373,5
278379,4
278388,0
278390,2
278402,2
278409,4
278428,4
278466,4
278470,3
278492,5
278498,4
278530,1
278531,4
278631,7
278632,5
278634,5
278635,1
278636,5
278641,6
278642,4
278643,4
278644,4
278645,4
278646,4
278647,6
278659,4
278660,7
278661,4
278663,4
278666,5
278668,5
278669,0
278670,0
278671,0
278682,6
278687,6
278688,6
278695,6
278728,7
278917,7
278920,5
278921,5
278925,5
278926,2
278928,6
278931,5
278932,7
278934,5
278935,6
278936,1
278941,5
278942,5
278945,3
278946,3
278947,3
278948,3
278949,5
278950,5
278951,5
278952,1
278954,1
278957,5
278971,5
279079,3
279098,0
279099,5
279106,6
279130,7
279251,5
279252,5
279263,5
279280,6
279281,7
279325,1
279326,5
279327,5
279329,7
279331,2
279332,2
279501,5
279508,5
279562,2
279563,5
279565,5
279587,2
279590,1
279591,1
279603,7
279605,7
279607,7
279608,7
279614,6
279622,5
279623,5
279637,7
279640,7
279642,7
279643,7
279646,5
279647,7
279648,7
279649,7
279650,7
279651,7
279652,7
279653,7
279654,7
279655,7
279656,7
279657,7
279658,7
279659,7
279660,5
279675,5
279678,5
279682,5
279684,1
279704,5
279705,5
279706,5
279710,1
279732,5
279733,5
279734,5
279735,5
279736,5
279737,5
279739,5
279743,5
279799,5
279803,5
279804,5
279815,5
279816,5
279818,7
279870,5
279871,5
279873,3
279875,5
279877,0
279898,5
279900,5
279902,5
279903,5
279905,0
279907,0
279972,5
279973,7
279974,5
279975,7
279976,5
280027,5
280029,5
280030,6
280033,5
280034,5
280068,5
280069,5
280070,5
280071,5
280075,0
280076,5
280077,5
280078,5
280081,7
280082,5
280083,5
280084,5
280168,4
280169,5
280171,5
280172,5
280173,5
280175,2
280178,5
280179,0
280180,5
280182,5
280184,5
280186,7
280188,5
280191,7
280194,5
280195,5
280356,2
280407,5
280414,5
280425,5
280426,5
280435,5
280436,5
280437,5
280440,5
280442,4
280455,4
280456,0
280457,5
280458,5
280464,5
280472,5
281114,5
281124,5
281176,5
281209,5
281214,5
281215,5
281216,5
281217,5
281218,5
281219,5
281220,5
281223,5
281224,5
281225,5
281226,5
281227,5
281229,5
281230,5
281231,5
281232,5
281233,5
281234,5
281235,5
281236,5
281237,5
281239,5
281240,5
281241,5
281242,5
281243,5
281244,5
281245,5
281246,5
281247,5
281249,5
281250,5
281251,5
281252,5
281253,5
281254,5
281255,5
281257,5
281268,5
281270,5
281345,5
281347,5
281348,5
281349,5
281350,5
281351,5
281352,5
281353,5
