ingredient,label,n_co,odds_ratio,pmi
antioxidant blend,Cognitive/Focus,3,1.127465496755324,0.21765180062585174
gymnema leaf extract,Cognitive/Focus,3,1.127465496755324,0.21765180062585174
total carbohydrate,Cognitive/Focus,98,1.1269862144023217,0.1720137191218326
total carbohydrates,Cognitive/Focus,658,1.113148824399877,0.1350790780758204
spirulina,Cognitive/Focus,13,1.0963808185419404,0.1505376047673147
silymarin,Cognitive/Focus,3,1.0910602616379348,0.17458307873396597
floraglo,Cognitive/Focus,8,1.0872793598493764,0.14656870256436913
pureway-c,Cognitive/Focus,4,1.0840823100834072,0.1577092601695698
total sugars,Cognitive/Focus,21,1.0819400565214325,0.12902050135352208
thiamin,Cognitive/Focus,7,1.0738053845382969,0.1327629030393389
flaxseed oil,Cognitive/Focus,10,1.0570398351648351,0.10676769450639438
fat,Cognitive/Focus,6,1.0569772228320526,0.11520453165503407
l-glutamic acid,Cognitive/Focus,4,1.0569459681843116,0.12454239623437008
beta-nicotinamide mononucleotide,Cognitive/Focus,2,1.0569147478070176,0.1465687025643694
vitamin b7,Cognitive/Focus,1,1.0568991504521787,0.17458307873396597
boron,Cognitive/Focus,87,1.0386370691177063,0.07042584744267406
vitamin k1,Cognitive/Focus,12,1.0177880601877303,0.05559504251687875
rosemary leaf extract,Cognitive/Focus,5,1.0146172839506173,0.06564870718080182
bladderwrack,Cognitive/Focus,3,0.994693462797787,0.05259255435535539
reishi,Cognitive/Focus,4,0.9831098751100282,0.02938516319403018
mixed tocopherols,Cognitive/Focus,9,0.9830866807610994,0.014118406540719764
"beet, powder",Cognitive/Focus,7,0.9802400474207036,0.014118406540719764
black cumin seed oil,Cognitive/Focus,2,0.9755503542510121,0.03965349864785733
pycnogenol,Cognitive/Focus,3,0.9662423126640292,0.014118406540719764
milk thistle,Cognitive/Focus,5,0.9570929419986024,-0.010972574422110516
burdock root extract,Cognitive/Focus,2,0.9393884015594542,-0.010972574422110516
msm,Cognitive/Focus,3,0.9393717819821467,-0.023356298877943167
sunflower lecithin,Cognitive/Focus,3,0.9393717819821467,-0.023356298877943167
black pepper,Cognitive/Focus,4,0.9393551532882306,-0.030735829243540704
potassium,Cognitive/Focus,310,0.9326995901131356,-0.06080965487128426
proprietary blend,Cognitive/Focus,181,0.9272887490044481,-0.07093736341205291
artichoke leaf extract,Cognitive/Focus,7,0.926407935654417,-0.059882174903057056
ashwagandha,Cognitive/Focus,9,0.9187932125670205,-0.07423746788012704
phosphorus,Cognitive/Focus,84,0.9134893956010588,-0.09177551069239294
zinc,Cognitive/Focus,354,0.9062571246265585,-0.09322451603913531
metafolin,Cognitive/Focus,2,0.9058094454887218,-0.059882174903057056
vitamin d,Cognitive/Focus,218,0.8919324246835164,-0.11735222967981869
l-ornithine hydrochloride,Cognitive/Focus,3,0.8898734359892052,-0.0955060846337783
n-acetyl l-cysteine,Cognitive/Focus,4,0.8805597458401901,-0.11646570326942442
vitamin k2,Cognitive/Focus,50,0.8764867617107943,-0.14501352187101438
horsetail,Cognitive/Focus,2,0.8745462794918331,-0.10718788968141366
cinnamon bark extract,Cognitive/Focus,4,0.862561151723443,-0.14394643969153156
cannabidiol,Cognitive/Focus,5,0.8595940573341704,-0.15299157929453852
l-tryptophan,Cognitive/Focus,8,0.8546359883753216,-0.16794192076051007
aquamin,Cognitive/Focus,2,0.8453673245614035,-0.15299157929453852
bilberry extract,Cognitive/Focus,2,0.8453673245614035,-0.15299157929453852
pomegranate fruit extract,Cognitive/Focus,3,0.845324924595558,-0.16421883471779264
turmeric,Cognitive/Focus,19,0.8404137396191721,-0.19738569865299208
calcium,Cognitive/Focus,431,0.8289955325849143,-0.19130093619201474
quercetin dihydrate,Cognitive/Focus,8,0.8266868419167681,-0.21188526834810698
protein,Cognitive/Focus,262,0.8242418613992843,-0.2102935862256601
rutin,Cognitive/Focus,22,0.8193841616308226,-0.23120041164523572
alpha lipoic acid,Cognitive/Focus,18,0.8186682437292098,-0.23149355297325627
multi collagen complex,Cognitive/Focus,2,0.818070882852292,-0.1973856986529919
lemon balm extract,Cognitive/Focus,3,0.8050191285727343,-0.22980717634536935
proprietary formula,Cognitive/Focus,4,0.7973586975646612,-0.24891599929307412
passionflower extract,Cognitive/Focus,2,0.79248046875,-0.24045442054487795
dietary fiber,Cognitive/Focus,7,0.7769774185100697,-0.29254293169333206
grapefruit seed extract,Cognitive/Focus,2,0.7684409888357256,-0.2822745962395049
kelp,Cognitive/Focus,5,0.7682504052874424,-0.3027386987992204
l-methionine,Cognitive/Focus,9,0.761052180991758,-0.32291658073685087
iron,Cognitive/Focus,182,0.7568245372058308,-0.3216020521348451
turmeric root extract,Cognitive/Focus,20,0.7541339898013012,-0.3399900940957923
l-proline,Cognitive/Focus,3,0.7512780672089693,-0.32291658073685103
chromemate,Cognitive/Focus,2,0.7458155959752322,-0.32291658073685064
myo-inositol,Cognitive/Focus,3,0.7192621157582157,-0.38181026979041927
enzyme blend,Cognitive/Focus,7,0.7189538666401901,-0.3961655627674893
ginger,Cognitive/Focus,15,0.7183353331967572,-0.403289997200871
cinnamon,Cognitive/Focus,4,0.7161319114516024,-0.39330590862824877
pumpkin seed extract,Cognitive/Focus,1,0.7044167351785877,-0.38181026979041927
passionflower,Cognitive/Focus,2,0.7043357090643275,-0.4009190927381238
silica,Cognitive/Focus,12,0.6990191993220884,-0.43839379815678675
medium chain triglyceride oil,Cognitive/Focus,5,0.6944247139072101,-0.438393798156787
green tea,Cognitive/Focus,2,0.6852773826458037,-0.438393798156787
quercetin,Cognitive/Focus,27,0.6837731562041226,-0.46975796906612205
bilberry,Cognitive/Focus,1,0.6762181419567005,-0.43839379815678675
chasteberry fruit extract,Cognitive/Focus,1,0.6762181419567005,-0.43839379815678675
l-glutamine,Cognitive/Focus,29,0.6700964093187617,-0.49639940159235235
olive leaf extract,Cognitive/Focus,12,0.6690304911570282,-0.4969459805119
maltase,Cognitive/Focus,2,0.6672221260387812,-0.47491967418190084
astragalus,Cognitive/Focus,3,0.6627633779039447,-0.4928415821791631
branched-chain amino acids,Cognitive/Focus,5,0.6582651915985249,-0.5105435839126221
l-arginine,Cognitive/Focus,15,0.6519971559383078,-0.5323699463658006
"alfalfa, powder",Cognitive/Focus,1,0.650188671290343,-0.4928415821791631
tribulus terrestris extract,Cognitive/Focus,1,0.650188671290343,-0.4928415821791631
kaneka ubiquinol,Cognitive/Focus,2,0.6500927800269906,-0.5105435839126221
slippery elm,Cognitive/Focus,3,0.6499968361772585,-0.5193137935403543
turmeric rhizome extract,Cognitive/Focus,6,0.6426257576480695,-0.5453090020732988
betaine,Cognitive/Focus,4,0.6304598783373314,-0.5657731046330142
burdock,Cognitive/Focus,4,0.6304598783373314,-0.5657731046330142
chlorophyll,Cognitive/Focus,4,0.6304598783373314,-0.5657731046330142
magnolia bark extract,Cognitive/Focus,1,0.6260873095622342,-0.5453090020732988
paba,Cognitive/Focus,3,0.6258822573601844,-0.5708440941804366
melatonin,Cognitive/Focus,39,0.6163430293268022,-0.6058505440083495
octacosanol,Cognitive/Focus,1,0.6037074736718475,-0.5959350751432667
pectin,Cognitive/Focus,1,0.6037074736718475,-0.5959350751432667
quatrefolic,Cognitive/Focus,1,0.6037074736718475,-0.5959350751432667
caprylic acid,Cognitive/Focus,2,0.6035988408521303,-0.6124231979318359
cayenne pepper,Cognitive/Focus,2,0.6035988408521303,-0.6124231979318359
reishi mushroom extract,Cognitive/Focus,2,0.6035988408521303,-0.6124231979318359
sugar,Cognitive/Focus,3,0.6034901484586157,-0.6205971293775361
